BLD_YRS_FOR_GAS_WELL_1,BLD_YRS_FOR_GAS_WELL_2,BLD_YRS_FOR_GAS_WELL_3,BuildWellNum
MD,D,2017,0.0
MD,V,2017,0.0
MD,H,2017,0.0
MD,D,2019,0.0
MD,V,2019,0.0
MD,H,2019,0.0
MD,D,2020,0.0
MD,V,2020,0.0
MD,H,2020,0.0
MD,D,2016,0.0
MD,V,2016,0.0
MD,H,2016,0.0
MD,D,2018,0.0
MD,V,2018,0.0
MD,H,2018,0.0
MD,D,2007,0.0
MD,V,2007,0.0
MD,H,2007,0.0
MD,D,2010,0.0
MD,V,2010,0.0
MD,H,2010,0.0
MD,D,2003,0.0
MD,V,2003,0.0
MD,H,2003,1.0
MD,D,2004,0.0
MD,V,2004,0.0
MD,H,2004,0.0
MD,D,2005,0.0
MD,V,2005,0.0
MD,H,2005,0.0
MD,D,2015,0.0
MD,V,2015,0.0
MD,H,2015,0.0
MD,D,2011,0.0
MD,V,2011,0.0
MD,H,2011,0.0
MD,D,2012,0.0
MD,V,2012,0.0
MD,H,2012,0.0
MD,D,2006,0.0
MD,V,2006,0.0
MD,H,2006,0.0
MD,D,2013,0.0
MD,V,2013,0.0
MD,H,2013,0.0
MD,D,2014,0.0
MD,V,2014,0.0
MD,H,2014,0.0
MI,D,2008,0.0
MI,V,2008,3.0
MI,H,2008,280.0
MI,D,2016,0.0
MI,V,2016,0.0
MI,H,2016,0.0
MI,D,2010,0.0
MI,V,2010,0.0
MI,H,2010,0.0
MI,D,2007,0.0
MI,V,2007,0.0
MI,H,2007,40.0
MI,D,2018,0.0
MI,V,2018,0.0
MI,H,2018,0.0
MI,D,2019,0.0
MI,V,2019,0.0
MI,H,2019,0.0
MI,D,2017,0.0
MI,V,2017,0.0
MI,H,2017,0.0
MI,D,2009,0.0
MI,V,2009,6.0
MI,H,2009,599.0
MI,D,2013,0.0
MI,V,2013,0.0
MI,H,2013,0.0
MI,D,2014,0.0
MI,V,2014,0.0
MI,H,2014,0.0
MI,D,2020,0.0
MI,V,2020,0.0
MI,H,2020,0.0
MI,D,2012,0.0
MI,V,2012,0.0
MI,H,2012,0.0
MI,D,2015,0.0
MI,V,2015,0.0
MI,H,2015,0.0
MI,D,2011,0.0
MI,V,2011,4.0
MI,H,2011,376.0
MO,H,2013,0.0
MO,H,2020,0.0
MO,H,2015,0.0
MO,H,2014,0.0
MO,H,2017,0.0
MO,H,2018,0.0
MO,H,2019,0.0
MO,H,2016,0.0
MO,H,2011,3.0
MO,H,2012,0.0
MS,V,2006,62.0
MS,H,2006,90.0
MS,D,2006,7.0
MS,V,2012,0.0
MS,H,2012,0.0
MS,D,2012,0.0
MS,V,2005,55.0
MS,H,2005,79.0
MS,D,2005,7.0
MS,V,2009,0.0
MS,H,2009,0.0
MS,D,2009,0.0
MS,V,2010,0.0
MS,H,2010,0.0
MS,D,2010,0.0
MS,V,2013,0.0
MS,H,2013,0.0
MS,D,2013,0.0
MS,V,2004,175.0
MS,H,2004,254.0
MS,D,2004,21.0
