BLD_YRS_FOR_GAS_D_LINE_1,BLD_YRS_FOR_GAS_D_LINE_2,BLD_YRS_FOR_GAS_D_LINE_3,BuildDirectionalGl
DE,MD,2000,0.0
DE,MD,2001,0.0
DE,MD,2002,0.0
DE,MD,2003,0.0
DE,MD,2004,0.0
DE,MD,2005,6222.0
DE,MD,2006,0.0
DE,MD,2007,0.0
DE,MD,2008,0.0
DE,MD,2009,0.0
DE,MD,2010,0.0
DE,MD,2011,0.0
DE,MD,2012,0.0
DE,MD,2013,0.0
DE,MD,2014,0.0
DE,MD,2015,0.0
DE,MD,2016,0.0
DE,MD,2017,0.0
DE,MD,2018,0.0
DE,MD,2019,0.0
DE,MD,2020,0.0
DE,MD,2021,14518.0
DE,MD,2022,0.0
DE,NJ,1990,0.0
DE,NJ,1994,146217.0
DE,NJ,1995,0.0
DE,NJ,1996,0.0
DE,NJ,1997,0.0
DE,NJ,1998,0.0
DE,NJ,1999,0.0
DE,NJ,2000,0.0
DE,NJ,2001,0.0
DE,NJ,2002,0.0
DE,NJ,2003,0.0
DE,NJ,2004,0.0
DE,NJ,2005,0.0
DE,NJ,2006,0.0
DE,NJ,2007,0.0
DE,NJ,2008,0.0
DE,NJ,2009,0.0
DE,NJ,2010,0.0
DE,NJ,2011,0.0
DE,NJ,2012,0.0
DE,NJ,2013,0.0
DE,NJ,2014,0.0
DE,NJ,2015,0.0
DE,NJ,2016,0.0
DE,NJ,2017,0.0
DE,NJ,2018,0.0
DE,NJ,2019,0.0
DE,NJ,2020,0.0
DE,NJ,2021,0.0
DE,NJ,2022,0.0
GA,AL,2015,544425.0
GA,AL,2016,0.0
GA,AL,2017,466650.0
GA,AL,2018,751825.0
GA,AL,2019,0.0
GA,AL,2020,0.0
GA,AL,2021,306952.0
GA,AL,2022,0.0
GA,FL,1990,44591.0
GA,FL,1994,13481.0
GA,FL,1995,0.0
GA,FL,1996,0.0
GA,FL,1997,0.0
GA,FL,1998,0.0
GA,FL,1999,0.0
GA,FL,2000,0.0
GA,FL,2001,0.0
GA,FL,2002,0.0
GA,FL,2003,0.0
GA,FL,2004,0.0
GA,FL,2005,0.0
GA,FL,2006,0.0
GA,FL,2007,368135.0
GA,FL,2008,0.0
GA,FL,2009,0.0
GA,FL,2010,0.0
GA,FL,2011,0.0
GA,FL,2012,0.0
GA,FL,2013,0.0
GA,FL,2014,0.0
GA,FL,2015,0.0
GA,FL,2016,243695.0
GA,FL,2017,860710.0
GA,FL,2018,0.0
GA,FL,2019,0.0
GA,FL,2020,230214.0
GA,FL,2021,0.0
GA,FL,2022,0.0
GA,SC,1990,3315289.0
GA,SC,1994,50813.0
GA,SC,1995,119255.0
GA,SC,1996,57035.0
GA,SC,1997,197030.0
GA,SC,1998,0.0
GA,SC,1999,0.0
GA,SC,2000,0.0
GA,SC,2001,0.0
GA,SC,2002,238510.0
GA,SC,2003,520574.0
GA,SC,2004,198067.0
GA,SC,2005,0.0
GA,SC,2006,0.0
GA,SC,2007,0.0
GA,SC,2008,0.0
GA,SC,2009,0.0
GA,SC,2010,0.0
GA,SC,2011,227103.0
