BLD_YRS_FOR_GAS_LINE_1,BLD_YRS_FOR_GAS_LINE_2,BuildGl
CA_OR,2006,0.0
CA_OR,2007,0.0
CA_OR,2008,0.0
CA_OR,2009,0.0
CA_OR,2010,0.0
CA_OR,2011,0.0
CA_OR,2012,0.0
CA_OR,2013,0.0
CA_OR,2014,0.0
CA_OR,2015,0.0
CA_OR,2016,0.0
CA_OR,2017,0.0
CA_OR,2018,0.0
CA_OR,2019,0.0
CA_OR,2020,0.0
CA_OR,2021,15555.0
CA_OR,2022,0.0
CO_KS,1990,435540.0
CO_KS,1991,0.0
CO_KS,1992,0.0
CO_KS,1993,0.0
CO_KS,1994,31110.0
CO_KS,1995,0.0
CO_KS,1996,0.0
CO_KS,1997,31110.0
CO_KS,1998,0.0
CO_KS,1999,0.0
CO_KS,2000,89182.0
CO_KS,2001,0.0
CO_KS,2002,0.0
CO_KS,2003,0.0
CO_KS,2004,580720.0
CO_KS,2005,284138.0
CO_KS,2006,0.0
CO_KS,2007,30073.0
CO_KS,2008,93330.0
CO_KS,2009,0.0
CO_KS,2010,0.0
CO_KS,2011,0.0
CO_KS,2012,0.0
CO_KS,2013,0.0
CO_KS,2014,0.0
CO_KS,2015,0.0
CO_KS,2016,0.0
CO_KS,2017,0.0
CO_KS,2018,0.0
CO_KS,2019,0.0
CO_KS,2020,0.0
CO_KS,2021,0.0
CO_KS,2022,0.0
CO_NE,1990,442799.0
CO_NE,1991,0.0
CO_NE,1992,0.0
CO_NE,1993,0.0
CO_NE,1994,59109.0
CO_NE,1995,0.0
CO_NE,1996,0.0
CO_NE,1997,497760.0
CO_NE,1998,0.0
CO_NE,1999,0.0
CO_NE,2000,0.0
CO_NE,2001,0.0
CO_NE,2002,335988.0
CO_NE,2003,0.0
CO_NE,2004,64294.0
CO_NE,2005,0.0
CO_NE,2006,0.0
CO_NE,2007,0.0
CO_NE,2008,1555500.0
CO_NE,2009,311618.5
CO_NE,2010,0.0
CO_NE,2011,0.0
CO_NE,2012,0.0
CO_NE,2013,0.0
CO_NE,2014,0.0
CO_NE,2015,0.0
CO_NE,2016,0.0
CO_NE,2017,0.0
CO_NE,2018,0.0
CO_NE,2019,0.0
CO_NE,2020,0.0
CO_NE,2021,0.0
CO_NE,2022,0.0
CO_NM,1990,614941.0
CO_NM,1991,0.0
CO_NM,1992,0.0
CO_NM,1993,0.0
CO_NM,1994,402356.0
CO_NM,1995,54961.0
CO_NM,1996,255102.0
CO_NM,1997,0.0
CO_NM,1998,145180.0
CO_NM,1999,311100.0
CO_NM,2000,0.0
CO_NM,2001,0.0
CO_NM,2002,0.0
CO_NM,2003,0.0
CO_NM,2004,282064.0
CO_NM,2005,0.0
CO_NM,2006,0.0
CO_NM,2007,259250.0
CO_NM,2008,0.0
CO_NM,2009,0.0
CO_NM,2010,0.0
CO_NM,2011,0.0
