gas_zone,timeseries,ShadowPrice
AZ,20230727,1.85919
AZ,20230728,1.89616
AZ,20230729,1.90634
AZ,20230730,1.91652
AZ,20230731,1.92671
AZ,20230801,1.65687
AZ,20230802,1.68146
AZ,20230803,1.67745
AZ,20230804,1.58996
AZ,20230805,1.63025
AZ,20230806,1.94453
AZ,20230807,1.59196
AZ,20230808,1.54302
AZ,20230809,1.43681
AZ,20230810,1.44354
AZ,20230811,1.25568
AZ,20230812,1.92963
AZ,20230813,1.70695
AZ,20230814,1.6416
AZ,20230815,1.59259
AZ,20230816,1.48779
AZ,20230817,1.52649
AZ,20230818,1.5092
AZ,20230819,1.28352
AZ,20230820,1.6038
AZ,20230821,1.93659
AZ,20230822,1.92414
AZ,20230823,1.93635
AZ,20230824,1.82522
AZ,20230825,1.84978
AZ,20230826,1.87844
AZ,20230827,1.63298
AZ,20230828,1.61403
AZ,20230829,1.17603
AZ,20230830,0.947549
AZ,20230831,1.10598
AZ,20230901,0.633626
AZ,20230902,0.572232
AZ,20230903,1.28058
AZ,20230904,1.95034
AZ,20230905,1.93481
AZ,20230906,1.82877
AZ,20230907,0.695811
AZ,20230908,0.639891
AZ,20230909,1.15455
AZ,20230910,1.14596
AZ,20230911,0.59751
AZ,20230912,0.597024
AZ,20230913,0.619964
AZ,20230914,0.648663
AZ,20230915,0.608202
AZ,20230916,0.569782
AZ,20230917,0.531361
AZ,20230918,0.492941
AZ,20230919,0.446837
AZ,20230920,0.631254
AZ,20230921,0.58515
AZ,20230922,0.544808
AZ,20230923,0.544808
AZ,20230924,0.544808
AZ,20230925,0.544808
AZ,20230926,0.498704
AZ,20230927,0.596676
AZ,20230928,0.608202
AZ,20230929,0.573624
AZ,20230930,0.577466
AZ,20231001,0.581308
AZ,20231002,0.0952073
AZ,20231003,0.0943277
AZ,20231004,0.711937
AZ,20231005,0.68684
AZ,20231006,0.930933
AZ,20231007,0.936696
AZ,20231008,0.942459
AZ,20231009,0.948222
AZ,20231010,0.925278
AZ,20231011,0.840121
AZ,20231012,0.0547446
AZ,20231013,0.0591427
AZ,20231014,0.0629544
AZ,20231015,0.0667661
AZ,20231016,0.720902
AZ,20231017,0.698194
AZ,20231018,0.68684
AZ,20231019,0.658147
AZ,20231020,0.527519
AZ,20231021,0.537124
AZ,20231022,0.131703
AZ,20231023,0.0996054
AZ,20231024,0.0820129
AZ,20231025,0.0977717
AZ,20231026,0.507879
AZ,20231027,0.896355
AZ,20231028,0.882907
AZ,20231029,0.86946
AZ,20231030,0.856013
AZ,20231031,0.953985
AZ,20231101,0.867539
AZ,20231102,0.827198
AZ,20231103,0.0688186
AZ,20231104,0.0773216
AZ,20231105,0.0858246
AZ,20231106,0.0943277
AZ,20231107,0.156781
AZ,20231108,0.140948
AZ,20231109,0.590913
AZ,20231110,0.590913
AZ,20231111,0.571703
AZ,20231112,0.552493
AZ,20231113,0.422034
AZ,20231114,0.0960869
AZ,20231115,0.665297
AZ,20231116,0.0767352
AZ,20231117,0.102244
AZ,20231118,0.106056
AZ,20231119,0.109868
AZ,20231120,0.464126
AZ,20231121,0.544808
AZ,20231122,0.596676
AZ,20231123,0.596676
AZ,20231124,0.596676
AZ,20231125,1.13017
AZ,20231126,1.19615
