GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
CO,OK,20230809,0.0
CO,OK,20230810,0.0
CO,OK,20230811,0.0
CO,OK,20230812,0.0
CO,OK,20230813,0.0
CO,OK,20230814,0.0
CO,OK,20230815,0.0
CO,OK,20230816,0.0
CO,OK,20230817,0.0
CO,OK,20230818,0.0
CO,OK,20230819,0.0
CO,OK,20230820,0.0
CO,OK,20230821,0.0
CO,OK,20230822,0.0
CO,OK,20230823,0.0
CO,OK,20230824,0.0
CO,OK,20230825,0.0
CO,OK,20230826,0.0
CO,OK,20230827,0.0
CO,OK,20230828,0.0
CO,OK,20230829,0.0
CO,OK,20230830,0.0
CO,OK,20230831,0.0
CO,OK,20230901,0.0
CO,OK,20230902,0.0
CO,OK,20230903,0.0
CO,OK,20230904,0.0
CO,OK,20230905,0.0
CO,OK,20230906,0.0
CO,OK,20230907,0.0
CO,OK,20230908,0.0
CO,OK,20230909,0.0
CO,OK,20230910,0.0
CO,OK,20230911,0.0
CO,OK,20230912,0.0
CO,OK,20230913,0.0
CO,OK,20230914,0.0
CO,OK,20230915,0.0
CO,OK,20230916,0.0
CO,OK,20230917,0.0
CO,OK,20230918,0.0
CO,OK,20230919,0.0
CO,OK,20230920,0.0
CO,OK,20230921,0.0
CO,OK,20230922,0.0
CO,OK,20230923,0.0
CO,OK,20230924,0.0
CO,OK,20230925,0.0
CO,OK,20230926,0.0
CO,OK,20230927,0.0
CO,OK,20230928,0.0
CO,OK,20230929,0.0
CO,OK,20230930,0.0
CO,OK,20231001,0.0
CO,OK,20231002,0.0
CO,OK,20231003,0.0
CO,OK,20231004,0.0
CO,OK,20231005,0.0
CO,OK,20231006,0.0
CO,OK,20231007,0.0
CO,OK,20231008,0.0
CO,OK,20231009,0.0
CO,OK,20231010,0.0
CO,OK,20231011,0.0
CO,OK,20231012,0.0
CO,OK,20231013,0.0
CO,OK,20231014,0.0
CO,OK,20231015,0.0
CO,OK,20231016,0.0
CO,OK,20231017,0.0
CO,OK,20231018,0.0
CO,OK,20231019,0.0
CO,OK,20231020,0.0
CO,OK,20231021,0.0
CO,OK,20231022,0.0
CO,OK,20231023,0.0
CO,OK,20231024,0.0
CO,OK,20231025,0.0
CO,OK,20231026,0.0
CO,OK,20231027,0.0
CO,OK,20231028,0.0
CO,OK,20231029,0.0
CO,OK,20231030,0.0
CO,OK,20231031,0.0
CO,OK,20231101,0.0
CO,OK,20231102,0.0
CO,OK,20231103,0.0
CO,OK,20231104,0.0
