GAS_ZONES,DRILL_TYPE,gas_well_predet_build_year,gas_well_predet_num,gas_well_total_num
KS,H,2002,6,212
KS,D,2002,702,25784
KS,V,2002,892,32737
KS,H,2005,3,219
KS,D,2005,363,26657
KS,V,2005,460,33845
KS,H,1991,3,190
KS,D,1991,425,23132
KS,V,1991,540,29369
KS,H,1992,2,192
KS,D,1992,198,23330
KS,V,1992,252,29621
KS,H,1993,4,196
KS,D,1993,471,23801
KS,V,1993,598,30218
KS,H,2003,2,214
KS,D,2003,189,25973
KS,V,2003,240,32976
KS,H,1990,0,187
KS,D,1990,25,22707
KS,V,1990,32,28829
KY,H,2014,3287,55202
KY,V,2014,1412,23723
KY,H,2016,0,55202
KY,V,2016,0,23723
KY,H,2011,0,50622
KY,V,2011,0,21755
KY,H,2006,909,49188
KY,V,2006,390,21138
KY,H,2007,469,49657
KY,V,2007,202,21340
KY,H,2010,362,50622
KY,V,2010,156,21755
KY,H,2015,0,55202
KY,V,2015,0,23723
KY,H,2008,0,49657
KY,V,2008,0,21340
KY,H,2009,603,50260
KY,V,2009,259,21599
KY,H,2012,329,50952
KY,V,2012,142,21896
KY,H,2013,964,51915
KY,V,2013,414,22311
KY,H,2020,0,57169
KY,V,2020,0,24569
KY,H,2017,0,55202
KY,V,2017,0,23723
KY,H,2018,0,55202
KY,V,2018,0,23723
KY,H,2019,1967,57169
KY,V,2019,846,24569
LA,H,1998,3266,84634
LA,D,1998,86,2234
LA,V,1998,89,2303
LA,H,1993,1571,79150
LA,D,1993,41,2089
LA,V,1993,43,2154
LA,H,2006,0,89564
LA,D,2006,0,2364
LA,V,2006,0,2438
LA,H,2007,651,90216
LA,D,2007,17,2381
LA,V,2007,18,2455
LA,H,2008,1014,91229
LA,D,2008,27,2408
LA,V,2008,28,2483
LA,H,2013,0,91690
LA,D,2013,0,2420
LA,V,2013,0,2495
LA,H,2014,0,91690
LA,D,2014,0,2420
LA,V,2014,0,2495
LA,H,2002,712,85963
LA,D,2002,19,2269
LA,V,2002,19,2340
LA,H,2003,0,85963
LA,D,2003,0,2269
LA,V,2003,0,2340
LA,H,2004,3602,89564
LA,D,2004,95,2364
LA,V,2004,98,2438
LA,H,2005,0,89564
LA,D,2005,0,2364
LA,V,2005,0,2438
LA,H,2019,0,91690
LA,D,2019,0,2420
LA,V,2019,0,2495
LA,H,2020,0,91690
LA,D,2020,0,2420
LA,V,2020,0,2495
LA,H,2016,0,91690
LA,D,2016,0,2420
LA,V,2016,0,2495
LA,H,2009,0,91229
LA,D,2009,0,2408
LA,V,2009,0,2483
LA,H,2010,263,91492
LA,D,2010,7,2415
LA,V,2010,7,2490
LA,H,2011,172,91664
LA,D,2011,5,2419
LA,V,2011,5,2495
LA,H,2012,26,91690
LA,D,2012,1,2420
LA,V,2012,1,2495
LA,H,1995,1149,80299
LA,D,1995,30,2119
LA,V,1995,31,2185
LA,H,1996,1069,81368
LA,D,1996,28,2148
LA,V,1996,29,2214
LA,H,1999,0,84634
LA,D,1999,0,2234
LA,V,1999,0,2303
LA,H,2000,0,84634
LA,D,2000,0,2234
LA,V,2000,0,2303
LA,H,2001,617,85251
LA,D,2001,16,2250
LA,V,2001,17,2320
LA,H,2017,0,91690
LA,D,2017,0,2420
LA,V,2017,0,2495
LA,H,2018,0,91690
LA,D,2018,0,2420
LA,V,2018,0,2495
LA,H,2015,0,91690
LA,D,2015,0,2420
LA,V,2015,0,2495
LA,H,1994,0,79150
LA,D,1994,0,2089
LA,V,1994,0,2154
LA,H,1997,0,81368
LA,D,1997,0,2148
LA,V,1997,0,2214
MD,D,2008,0,2
MD,V,2008,0,925
MD,H,2008,0,95680
MD,D,2009,0,2
MD,V,2009,0,925
MD,H,2009,0,95680
MD,D,2017,0,2
MD,V,2017,0,925
MD,H,2017,0,95680
MD,D,2019,0,2
MD,V,2019,0,925
MD,H,2019,0,95680
MD,D,2020,0,2
MD,V,2020,0,925
MD,H,2020,0,95680
MD,D,2016,0,2
MD,V,2016,0,925
MD,H,2016,0,95680
MD,D,2018,0,2
MD,V,2018,0,925
MD,H,2018,0,95680
MD,D,2007,0,2
MD,V,2007,0,925
MD,H,2007,0,95680
MD,D,2010,0,2
MD,V,2010,0,925
MD,H,2010,0,95680
MD,D,2003,0,2
MD,V,2003,0,925
MD,H,2003,1,95680
MD,D,2004,0,2
MD,V,2004,0,925
MD,H,2004,0,95680
MD,D,2005,0,2
MD,V,2005,0,925
MD,H,2005,0,95680
MD,D,2015,0,2
MD,V,2015,0,925
MD,H,2015,0,95680
MD,D,2011,0,2
MD,V,2011,0,925
MD,H,2011,0,95680
MD,D,2012,0,2
MD,V,2012,0,925
MD,H,2012,0,95680
MD,D,2006,0,2
MD,V,2006,0,925
MD,H,2006,0,95680
MD,D,2013,0,2
MD,V,2013,0,925
MD,H,2013,0,95680
MD,D,2014,0,2
MD,V,2014,0,925
MD,H,2014,0,95680
MI,D,2008,0,2
MI,V,2008,3,928
MI,H,2008,280,96000
MI,D,2016,0,2
MI,V,2016,0,937
MI,H,2016,0,96975
MI,D,2010,0,2
MI,V,2010,0,934
MI,H,2010,0,96599
MI,D,2007,0,2
MI,V,2007,0,925
MI,H,2007,40,95719
MI,D,2018,0,2
MI,V,2018,0,937
MI,H,2018,0,96975
MI,D,2019,0,2
MI,V,2019,0,937
MI,H,2019,0,96975
MI,D,2017,0,2
MI,V,2017,0,937
MI,H,2017,0,96975
MI,D,2009,0,2
MI,V,2009,6,934
MI,H,2009,599,96599
MI,D,2013,0,2
MI,V,2013,0,937
MI,H,2013,0,96975
MI,D,2014,0,2
MI,V,2014,0,937
MI,H,2014,0,96975
MI,D,2020,0,2
MI,V,2020,0,937
MI,H,2020,0,96975
