GAS_ZONES,LNG_storage_predet_build_year,LNG_storage_predet_cap,LNG_storage_removed_cap,LNG_storage_total_cap
MD,1991,0,0,26726400
MD,1992,0,0,26726400
MD,1993,0,0,26726400
MD,1994,0,0,26726400
MD,1995,0,0,26726400
MD,1996,0,0,26726400
MD,1997,0,0,26726400
MD,1998,0,0,26726400
MD,1999,0,0,26726400
MD,2000,9601.92000000179,0,26736001.92
MD,2001,0,0,26736001.92
MD,2002,0,0,26736001.92
MD,2003,0,0,26736001.92
MD,2004,0,0,26736001.92
MD,2005,0,0,26736001.92
MD,2006,0,0,26736001.92
MD,2007,0,0,26736001.92
MD,2008,0,0,26736001.92
MD,2009,0,0,26736001.92
MD,2010,0,0,26736001.92
MD,2011,0,0,26736001.92
MD,2012,0,0,26736001.92
MD,2013,0,0,26736001.92
MD,2014,0,0,26736001.92
MD,2015,0,0,26736001.92
MD,2016,0,9601.92000000179,26726400
MD,2017,0,0,26726400
MD,2018,0,0,26726400
MD,2019,0,25056000,1670400
MD,2020,0,0,1670400
MD,2021,0,0,1670400
MD,2022,0,0,1670400
ME,1973,0,0,20367.36
ME,1974,0,0,20367.36
ME,1975,0,0,20367.36
ME,1976,0,0,20367.36
ME,1977,0,0,20367.36
ME,1978,0,0,20367.36
ME,1979,0,0,20367.36
ME,1980,0,0,20367.36
ME,1981,0,0,20367.36
ME,1982,0,0,20367.36
ME,1983,0,0,20367.36
ME,1984,0,0,20367.36
ME,1985,0,0,20367.36
ME,1986,0,0,20367.36
ME,1987,0,0,20367.36
ME,1988,0,0,20367.36
ME,1989,0,0,20367.36
ME,1990,0,0,20367.36
ME,1991,0,0,20367.36
ME,1992,0,0,20367.36
ME,1993,0,0,20367.36
ME,1994,0,0,20367.36
ME,1995,0,0,20367.36
ME,1996,0,0,20367.36
ME,1997,0,0,20367.36
