gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap,gas_line_total_cap
GA,SC,2000,0,0,3739422
GA,SC,2001,0,0,3739422
GA,SC,2002,238510,0,3977932
GA,SC,2003,520574,0,4498506
GA,SC,2004,198067,0,4696573
GA,SC,2005,0,0,4696573
GA,SC,2006,0,0,4696573
GA,SC,2007,0,0,4696573
GA,SC,2008,0,0,4696573
GA,SC,2009,0,0,4696573
GA,SC,2010,0,0,4696573
GA,SC,2011,227103,0,4923676
GA,SC,2012,98515,0,5022191
GA,SC,2013,0,0,5022191
GA,SC,2014,0,0,5022191
GA,SC,2015,0,0,5022191
GA,SC,2016,0,0,5022191
GA,SC,2017,0,0,5022191
GA,SC,2018,0,0,5022191
GA,SC,2019,0,0,5022191
GA,SC,2020,0,0,5022191
GA,SC,2021,306952,0,5329143
GA,SC,2022,0,0,5329143
GA,TN,1990,46665,0,46665
GA,TN,1994,0,0,46665
GA,TN,1995,11407,0,58072
GA,TN,1996,0,0,58072
GA,TN,1997,0,0,58072
GA,TN,1998,98515,0,156587
GA,TN,1999,0,0,156587
GA,TN,2000,0,0,156587
GA,TN,2001,0,0,156587
GA,TN,2002,0,0,156587
GA,TN,2003,0,0,156587
GA,TN,2004,0,0,156587
GA,TN,2005,0,0,156587
GA,TN,2006,0,0,156587
GA,TN,2007,0,0,156587
GA,TN,2008,0,0,156587
GA,TN,2009,0,0,156587
GA,TN,2010,0,0,156587
GA,TN,2011,0,0,156587
GA,TN,2012,0,0,156587
GA,TN,2013,0,0,156587
GA,TN,2014,0,0,156587
GA,TN,2015,0,0,156587
GA,TN,2016,0,0,156587
GA,TN,2017,0,0,156587
GA,TN,2018,0,0,156587
GA,TN,2019,0,0,156587
GA,TN,2020,0,0,156587
GA,TN,2021,0,0,156587
GA,TN,2022,0,0,156587
IA,IL,1990,2878712,0,2878712
IA,IL,1994,119255,0,2997967
